original_index,filename,dataset_source,label,country_code,avg_red,avg_green,avg_blue,brightness,saturation,red_tendency,blue_tendency,processed_successfully,color_cluster,color_name
1217,DE-193.jpg,countries,DE,DE,0.6945956862745098,0.6233470588235294,0.5573317647058823,0.6250915032679738,0.5245650980392157,0.37039660713488265,0.2971999377116362,True,2,Neutral_Colors
1218,DE-194.jpg,countries,DE,DE,0.4230941176470588,0.469481568627451,0.2458913725490196,0.37948901960784315,0.6037231372549019,0.3716345964807093,0.21598442805950913,True,0,Warm_Tones
1219,DE-195.jpg,countries,DE,DE,0.32184156862745095,0.35938509803921564,0.36085215686274513,0.3473596078431373,0.4518921568627451,0.3088454083463667,0.34628072506056,True,4,Dark_Moody
1220,DE-196.jpg,countries,DE,DE,0.40682980392156864,0.4279627450980392,0.31804941176470586,0.3842806535947712,0.5101129411764705,0.3528926469263343,0.2758826853124274,True,4,Dark_Moody
1221,DE-197.jpg,countries,DE,DE,0.7596105882352941,0.8529956862745098,0.8600674509803922,0.8242245751633988,0.20016392156862745,0.3072019867411816,0.3478287872295406,True,5,Balanced_Natural
1222,DE-198.jpg,countries,DE,DE,0.5413309803921569,0.5257529411764706,0.5037913725490196,0.5236250980392158,0.14457176470588234,0.3446044621204368,0.3207072220998768,True,2,Neutral_Colors
1223,DE-199.jpg,countries,DE,DE,0.14607137254901958,0.2422443137254902,0.13174470588235296,0.17335346405228758,0.683718431372549,0.2808733252495717,0.2533252955693655,True,4,Dark_Moody
1224,DE-2.jpg,countries,DE,DE,0.3300592156862745,0.2942945098039216,0.21835882352941177,0.28090418300653597,0.5305647058823529,0.3916624054167127,0.2591139347212882,True,4,Dark_Moody
1225,DE-20.jpg,countries,DE,DE,0.381901568627451,0.3525125490196078,0.26281921568627453,0.33241111111111116,0.3801635294117647,0.3829607102985667,0.2635481018867259,True,4,Dark_Moody
1226,DE-200.jpg,countries,DE,DE,0.9585450980392157,0.7177407843137255,0.8198435294117647,0.8320431372549019,0.2625972549019608,0.3840124272038923,0.32844579175338623,True,5,Balanced_Natural
1227,DE-201.jpg,countries,DE,DE,0.5491474509803922,0.4583862745098039,0.2646878431372549,0.42407385620915033,0.607815294117647,0.4316441670837871,0.20805152310952624,True,0,Warm_Tones
1228,DE-202.jpg,countries,DE,DE,0.3662066666666667,0.2459705882352941,0.20721450980392156,0.2731305882352941,0.6620105882352941,0.44692445728162494,0.25288789299756675,True,3,Vibrant_Bright
1229,DE-203.jpg,countries,DE,DE,0.5830509803921569,0.6674564705882353,0.5458878431372549,0.5987984313725491,0.3493039215686275,0.3245670135823452,0.3038794084160499,True,2,Neutral_Colors
1230,DE-204.jpg,countries,DE,DE,0.19426039215686275,0.23936078431372548,0.2172486274509804,0.21695660130718952,0.45619098039215683,0.2984622923419247,0.3337814911070421,True,4,Dark_Moody
1231,DE-205.jpg,countries,DE,DE,0.4339309803921569,0.45274235294117643,0.3957454901960784,0.42747294117647056,0.3409423529411764,0.338368896386765,0.3085927735481564,True,4,Dark_Moody
1232,DE-206.jpg,countries,DE,DE,0.34691215686274507,0.5413450980392157,0.37928980392156864,0.4225156862745098,0.7575870588235294,0.27368757693079543,0.2992311031375057,True,1,Cool_Tones
1233,DE-207.jpg,countries,DE,DE,0.505187843137255,0.48660901960784314,0.3744380392156863,0.45541163398692813,0.27559607843137257,0.36976618928855787,0.27406543678020984,True,2,Neutral_Colors
1234,DE-208.jpg,countries,DE,DE,0.586181568627451,0.5586498039215687,0.5407349019607843,0.5618554248366013,0.3831541176470588,0.3477651574588882,0.32080291907544345,True,2,Neutral_Colors
1235,DE-209.jpg,countries,DE,DE,0.44586549019607846,0.4331278431372549,0.45008588235294117,0.4430264052287582,0.21898352941176472,0.3354692101603924,0.33864463336438877,True,2,Neutral_Colors
1236,DE-21.jpg,countries,DE,DE,0.8793458823529412,0.873861568627451,0.8349956862745098,0.8627343790849674,0.08059058823529411,0.3397513626129938,0.3226158533075068,True,5,Balanced_Natural
1237,DE-210.jpg,countries,DE,DE,0.42451803921568626,0.29623803921568626,0.24575058823529414,0.3221688888888889,0.5101149019607842,0.4392288378630067,0.2542665689169848,True,4,Dark_Moody
1238,DE-211.jpg,countries,DE,DE,0.6620101960784314,0.7268701960784314,0.6177827450980392,0.6688877124183007,0.3715792156862745,0.32990582917580574,0.30786554343028233,True,2,Neutral_Colors
1239,DE-212.jpg,countries,DE,DE,0.4570254901960784,0.3115772549019608,0.24855490196078434,0.33905254901960785,0.637361568627451,0.4493158383086017,0.24436198097464548,True,3,Vibrant_Bright
